cyp2c19,cyp2d6,cyp3a4,cyp1a2,cyp2c9,CID,SID
1.0,,,1.0,,651086.0,848633.0
,,1.0,,,651189.0,848731.0
,0.0,0.0,,0.0,651205.0,848749.0
,0.0,0.0,1.0,0.0,651207.0,848751.0
1.0,,1.0,,1.0,135450659.0,848762.0
1.0,0.0,,1.0,1.0,651338.0,848874.0
0.0,0.0,0.0,,,651433.0,848966.0
,1.0,0.0,0.0,,651587.0,849116.0
0.0,0.0,0.0,0.0,0.0,651589.0,849118.0
0.0,,0.0,1.0,0.0,651603.0,849132.0
,1.0,,1.0,,135450662.0,849137.0
1.0,0.0,0.0,,0.0,651769.0,849292.0
1.0,1.0,1.0,1.0,1.0,651959.0,849465.0
0.0,0.0,0.0,,0.0,652002.0,849510.0
,0.0,,1.0,0.0,652325.0,849814.0
0.0,1.0,0.0,,,652521.0,850010.0
,0.0,1.0,0.0,,652549.0,850038.0
,0.0,0.0,,0.0,611711.0,850149.0
0.0,0.0,0.0,,0.0,26880.0,850151.0
1.0,0.0,0.0,,0.0,652700.0,850189.0
1.0,0.0,1.0,0.0,0.0,652799.0,850283.0
0.0,0.0,0.0,,0.0,652954.0,850433.0
0.0,,0.0,,0.0,6603138.0,850485.0
1.0,0.0,0.0,1.0,,2054625.0,850554.0
,0.0,,,0.0,653097.0,850571.0
0.0,0.0,0.0,0.0,0.0,653213.0,850684.0
,0.0,0.0,0.0,0.0,653279.0,850739.0
1.0,,1.0,1.0,1.0,653412.0,850865.0
1.0,,,1.0,1.0,135417689.0,851015.0
1.0,0.0,,0.0,0.0,6603457.0,851067.0
0.0,0.0,0.0,0.0,0.0,6603658.0,851076.0
1.0,0.0,,1.0,,653646.0,851085.0
1.0,,1.0,1.0,1.0,653695.0,851134.0
0.0,0.0,,,,653778.0,851213.0
1.0,0.0,,,0.0,653799.0,851235.0
1.0,,1.0,1.0,,627902.0,851303.0
1.0,1.0,1.0,,,653914.0,851343.0
1.0,0.0,,0.0,0.0,654042.0,851466.0
,0.0,,,1.0,654046.0,851470.0
,0.0,,1.0,1.0,654068.0,851492.0
,0.0,0.0,0.0,,654078.0,851503.0
,0.0,0.0,1.0,,654182.0,851595.0
,0.0,,,,6398932.0,851598.0
,,0.0,1.0,0.0,654244.0,851660.0
0.0,0.0,0.0,0.0,0.0,654257.0,851674.0
1.0,,1.0,,1.0,654363.0,851770.0
1.0,0.0,0.0,1.0,1.0,654435.0,851833.0
,0.0,0.0,,0.0,5373216.0,851909.0
1.0,0.0,0.0,,1.0,654546.0,851940.0
1.0,0.0,,0.0,,654623.0,852016.0
,0.0,0.0,0.0,,654635.0,852029.0
,0.0,0.0,0.0,,654761.0,852148.0
,0.0,0.0,1.0,0.0,655127.0,852502.0
1.0,0.0,1.0,,,655183.0,852560.0
0.0,0.0,0.0,0.0,0.0,655265.0,852628.0
,0.0,0.0,0.0,,5768421.0,852680.0
1.0,1.0,1.0,,1.0,655401.0,852761.0
1.0,0.0,0.0,1.0,1.0,655439.0,852799.0
1.0,1.0,,0.0,,655575.0,852933.0
0.0,,0.0,,0.0,586663.0,852944.0
,0.0,0.0,,0.0,5769094.0,852985.0
,1.0,,1.0,0.0,655776.0,853124.0
0.0,0.0,0.0,,0.0,655785.0,853133.0
1.0,0.0,,1.0,,655857.0,853202.0
0.0,,0.0,0.0,,655866.0,853212.0
,,,1.0,0.0,655926.0,853274.0
,0.0,,,0.0,655948.0,853296.0
0.0,0.0,,1.0,,656017.0,853361.0
0.0,0.0,,,1.0,656027.0,853371.0
0.0,0.0,,0.0,0.0,656095.0,853436.0
1.0,0.0,0.0,1.0,1.0,656157.0,853501.0
1.0,0.0,0.0,1.0,1.0,656183.0,853529.0
,,0.0,1.0,,656216.0,853557.0
,,,1.0,,656232.0,853573.0
,0.0,0.0,0.0,0.0,656257.0,853599.0
1.0,1.0,,1.0,,656272.0,853614.0
1.0,1.0,,,0.0,656290.0,853632.0
,0.0,0.0,0.0,,656355.0,853696.0
0.0,1.0,0.0,1.0,,54686761.0,856025.0
0.0,,0.0,,0.0,657423.0,856036.0
1.0,0.0,1.0,0.0,1.0,657488.0,856115.0
0.0,0.0,0.0,0.0,0.0,6603060.0,856140.0
,1.0,0.0,,,6449251.0,856255.0
0.0,0.0,0.0,,0.0,135449532.0,856259.0
,0.0,,0.0,1.0,5940036.0,856686.0
,0.0,0.0,,0.0,208296.0,856905.0
1.0,0.0,0.0,0.0,0.0,658313.0,856953.0
1.0,0.0,,,,658411.0,857056.0
,,0.0,0.0,0.0,6602578.0,857062.0
1.0,,,1.0,1.0,658614.0,857272.0
1.0,1.0,,1.0,0.0,658723.0,857377.0
,0.0,1.0,0.0,,658813.0,857462.0
,0.0,0.0,0.0,,135415833.0,857497.0
1.0,0.0,,0.0,1.0,658879.0,857531.0
,0.0,0.0,0.0,,659040.0,857679.0
0.0,0.0,0.0,0.0,0.0,135435901.0,857689.0
,0.0,,1.0,,16411130.0,857842.0
,0.0,,0.0,,659321.0,857973.0
0.0,0.0,0.0,0.0,,2838016.0,858018.0
,0.0,0.0,1.0,0.0,659516.0,858164.0
1.0,,0.0,,1.0,659575.0,858229.0
0.0,0.0,0.0,,,659620.0,858280.0
1.0,,1.0,1.0,1.0,659654.0,858319.0
,,0.0,,0.0,659658.0,858323.0
0.0,0.0,0.0,0.0,,1571770.0,858342.0
,,1.0,,,6603569.0,858386.0
1.0,0.0,0.0,0.0,0.0,4323243.0,858418.0
0.0,0.0,,0.0,0.0,1922089.0,858428.0
1.0,0.0,,0.0,,659756.0,858435.0
0.0,0.0,,0.0,0.0,1609548.0,858440.0
,,0.0,1.0,0.0,659775.0,858457.0
1.0,0.0,0.0,1.0,1.0,659795.0,858482.0
1.0,0.0,0.0,1.0,,659824.0,858515.0
1.0,0.0,0.0,,0.0,659900.0,858593.0
1.0,1.0,1.0,1.0,1.0,659902.0,858595.0
1.0,,1.0,1.0,1.0,659936.0,858631.0
0.0,0.0,0.0,0.0,0.0,659943.0,858640.0
,,,0.0,0.0,660061.0,858756.0
1.0,0.0,,1.0,1.0,660120.0,858812.0
,1.0,0.0,0.0,0.0,660285.0,858981.0
,0.0,0.0,0.0,,660304.0,859001.0
,0.0,,0.0,0.0,5389248.0,859105.0
1.0,,0.0,,1.0,660522.0,859218.0
1.0,0.0,,1.0,,5389254.0,859224.0
,,0.0,0.0,0.0,660546.0,859244.0
,,,1.0,,660635.0,859331.0
0.0,,,,,660660.0,859361.0
,0.0,0.0,0.0,0.0,135420605.0,859490.0
,0.0,0.0,,,660831.0,859536.0
1.0,0.0,,0.0,0.0,660995.0,859689.0
,0.0,1.0,0.0,,661009.0,859703.0
1.0,,,1.0,,661037.0,859733.0
,0.0,,1.0,,661055.0,859751.0
0.0,0.0,,1.0,,661065.0,859761.0
1.0,0.0,,0.0,1.0,661098.0,859796.0
1.0,0.0,,0.0,1.0,661170.0,859865.0
,0.0,0.0,0.0,0.0,661178.0,859874.0
,0.0,0.0,0.0,0.0,661187.0,859883.0
1.0,0.0,0.0,1.0,,661203.0,859900.0
1.0,,1.0,1.0,1.0,661217.0,859914.0
1.0,,1.0,,1.0,661251.0,859949.0
,0.0,,,,661259.0,859957.0
,0.0,0.0,1.0,1.0,661296.0,859984.0
1.0,0.0,0.0,1.0,,661300.0,859990.0
1.0,0.0,0.0,0.0,,661349.0,860043.0
0.0,0.0,0.0,0.0,0.0,661355.0,860049.0
0.0,0.0,0.0,0.0,0.0,661394.0,860091.0
,0.0,0.0,,1.0,661406.0,860103.0
0.0,0.0,0.0,0.0,0.0,6603015.0,860111.0
0.0,0.0,0.0,0.0,0.0,6603014.0,860114.0
,0.0,0.0,0.0,0.0,661455.0,860146.0
,0.0,,1.0,0.0,9568659.0,860163.0
1.0,,,,1.0,661502.0,860196.0
1.0,0.0,1.0,,1.0,661513.0,860207.0
1.0,0.0,,0.0,,661518.0,860213.0
1.0,0.0,,,1.0,661528.0,860223.0
0.0,0.0,0.0,,0.0,661532.0,860227.0
0.0,0.0,0.0,,0.0,661552.0,860250.0
1.0,,0.0,1.0,1.0,661596.0,860294.0
1.0,,0.0,,,661601.0,860300.0
1.0,0.0,,0.0,1.0,661612.0,860311.0
0.0,,0.0,0.0,0.0,661615.0,860315.0
0.0,0.0,,,,661648.0,860350.0
0.0,0.0,0.0,,0.0,622237.0,860431.0
,1.0,1.0,,,661761.0,860472.0
0.0,0.0,,0.0,0.0,5389368.0,860507.0
1.0,0.0,0.0,1.0,,661794.0,860508.0
0.0,0.0,,0.0,,5389389.0,860591.0
0.0,0.0,0.0,0.0,0.0,5389423.0,860691.0
,0.0,,0.0,1.0,661999.0,860723.0
0.0,1.0,,,0.0,662011.0,860735.0
1.0,0.0,1.0,1.0,,6881185.0,860758.0
0.0,0.0,,0.0,,6881246.0,860782.0
,,,,0.0,662109.0,860830.0
0.0,,,0.0,0.0,662144.0,860868.0
0.0,0.0,0.0,0.0,0.0,662162.0,860889.0
1.0,1.0,0.0,0.0,0.0,5775.0,860967.0
,0.0,1.0,,,662243.0,860968.0
1.0,,,,,662260.0,860986.0
0.0,,,0.0,0.0,662284.0,861014.0
,0.0,1.0,0.0,1.0,662340.0,861071.0
1.0,,1.0,1.0,1.0,662344.0,861075.0
0.0,0.0,0.0,0.0,0.0,5389504.0,861108.0
,0.0,0.0,0.0,0.0,662407.0,861145.0
1.0,,1.0,1.0,1.0,6603410.0,861239.0
1.0,,1.0,,0.0,6603500.0,861241.0
,,0.0,1.0,0.0,6603236.0,861243.0
0.0,0.0,,1.0,1.0,662515.0,861256.0
0.0,1.0,0.0,0.0,0.0,6603499.0,861383.0
,,0.0,,,6602710.0,861386.0
,0.0,0.0,0.0,0.0,9614332.0,861387.0
1.0,0.0,,,,662647.0,861400.0
1.0,,,1.0,,662650.0,861403.0
,,1.0,1.0,1.0,662670.0,861425.0
,0.0,1.0,1.0,1.0,662710.0,861468.0
1.0,0.0,0.0,1.0,,662745.0,861506.0
,0.0,0.0,0.0,,200556.0,861533.0
1.0,0.0,1.0,,,662794.0,861546.0
,0.0,,0.0,1.0,662799.0,861552.0
,0.0,,1.0,1.0,662838.0,861598.0
0.0,0.0,0.0,0.0,0.0,662868.0,861630.0
1.0,,1.0,,0.0,662878.0,861640.0
0.0,0.0,,1.0,0.0,662974.0,861742.0
1.0,1.0,1.0,1.0,1.0,662991.0,861762.0
,0.0,,1.0,,662996.0,861767.0
1.0,0.0,,0.0,,663008.0,861781.0
,0.0,1.0,,0.0,663055.0,861833.0
1.0,1.0,0.0,,,6603621.0,861846.0
1.0,,1.0,,1.0,663121.0,861895.0
,0.0,0.0,0.0,0.0,9615342.0,861898.0
1.0,1.0,1.0,1.0,1.0,663125.0,861899.0
1.0,0.0,1.0,1.0,1.0,663143.0,861918.0
1.0,1.0,1.0,1.0,1.0,663146.0,861921.0
1.0,0.0,,1.0,1.0,663168.0,861945.0
,,0.0,0.0,0.0,6889315.0,861962.0
,,,0.0,,663281.0,862054.0
1.0,,1.0,,1.0,663330.0,862108.0
0.0,0.0,0.0,0.0,0.0,663331.0,862109.0
0.0,0.0,1.0,1.0,0.0,663337.0,862116.0
1.0,1.0,,,,663340.0,862119.0
1.0,0.0,1.0,1.0,1.0,663539.0,862310.0
,0.0,0.0,0.0,0.0,663558.0,862330.0
,0.0,0.0,0.0,,663581.0,862353.0
0.0,0.0,,1.0,,663690.0,862459.0
0.0,0.0,0.0,0.0,0.0,5389740.0,862488.0
1.0,1.0,,0.0,,663736.0,862506.0
,1.0,1.0,,0.0,663792.0,862563.0
0.0,0.0,0.0,0.0,0.0,5389753.0,862611.0
1.0,,1.0,,1.0,663879.0,862646.0
0.0,0.0,0.0,0.0,1.0,54676164.0,862672.0
0.0,0.0,0.0,0.0,,664033.0,862800.0
,,0.0,0.0,0.0,664130.0,862891.0
1.0,,1.0,1.0,1.0,664154.0,862915.0
0.0,0.0,,0.0,,5389802.0,863009.0
1.0,0.0,,0.0,0.0,664250.0,863013.0
0.0,0.0,0.0,0.0,0.0,664283.0,863043.0
1.0,0.0,,0.0,1.0,664301.0,863062.0
0.0,0.0,0.0,,0.0,135513628.0,863141.0
1.0,0.0,0.0,,,664461.0,863214.0
0.0,,0.0,0.0,0.0,664527.0,863281.0
,0.0,0.0,0.0,0.0,664546.0,863300.0
1.0,1.0,1.0,1.0,1.0,6603365.0,863322.0
,0.0,0.0,0.0,0.0,664598.0,863343.0
0.0,0.0,0.0,0.0,,5389869.0,863416.0
0.0,0.0,0.0,0.0,,5389872.0,863427.0
,0.0,0.0,0.0,0.0,5389875.0,863440.0
,0.0,,0.0,0.0,5389878.0,863468.0
,0.0,1.0,1.0,,664733.0,863479.0
1.0,1.0,,1.0,,664737.0,863483.0
,1.0,,0.0,0.0,664759.0,863506.0
,0.0,,1.0,,5389891.0,863573.0
1.0,,,0.0,,664826.0,863576.0
,0.0,1.0,0.0,0.0,2066868.0,863580.0
0.0,0.0,0.0,0.0,0.0,5389897.0,863623.0
,0.0,0.0,0.0,,5389902.0,863663.0
,1.0,,0.0,,664974.0,863722.0
0.0,0.0,,0.0,,664983.0,863731.0
,0.0,,,0.0,6603255.0,863766.0
0.0,0.0,,,,665081.0,863828.0
1.0,,1.0,1.0,,665084.0,863831.0
1.0,1.0,0.0,,0.0,6602811.0,863915.0
,,0.0,0.0,0.0,665219.0,863964.0
1.0,,0.0,1.0,,665250.0,863998.0
0.0,0.0,0.0,,,665278.0,864026.0
1.0,0.0,,1.0,1.0,665299.0,864048.0
,0.0,1.0,0.0,,665343.0,864093.0
,,,,0.0,665380.0,864131.0
0.0,0.0,0.0,0.0,0.0,665437.0,864189.0
0.0,0.0,0.0,1.0,,665459.0,864212.0
,0.0,0.0,1.0,0.0,665578.0,864330.0
,0.0,0.0,1.0,,665654.0,864407.0
1.0,1.0,,1.0,,665725.0,864480.0
,,1.0,,,665964.0,864723.0
1.0,0.0,,1.0,1.0,666213.0,864964.0
0.0,0.0,,0.0,0.0,5389999.0,864977.0
1.0,,,1.0,,666412.0,865162.0
1.0,,1.0,,,666498.0,865244.0
0.0,0.0,0.0,,1.0,666499.0,865245.0
,0.0,1.0,0.0,,666516.0,865262.0
1.0,0.0,,1.0,,666838.0,865579.0
1.0,0.0,1.0,1.0,,667080.0,865820.0
1.0,0.0,,,,667171.0,865913.0
1.0,0.0,1.0,0.0,,667282.0,866021.0
0.0,0.0,0.0,0.0,0.0,135465169.0,866042.0
0.0,0.0,0.0,,0.0,667315.0,866054.0
0.0,,1.0,0.0,,667387.0,866128.0
,,,,,2997551.0,3711219.0
1.0,0.0,1.0,,1.0,2108763.0,3711258.0
,0.0,,,,5742453.0,3711319.0
,0.0,1.0,,,2997601.0,3711343.0
0.0,0.0,0.0,,0.0,2360612.0,3711413.0
,,1.0,1.0,1.0,2997683.0,3711555.0
1.0,0.0,1.0,1.0,,1016562.0,3711650.0
,0.0,0.0,0.0,0.0,2309247.0,3711776.0
1.0,0.0,,0.0,,2613812.0,3711783.0
,0.0,0.0,1.0,,2570762.0,3711919.0
0.0,0.0,0.0,,,2601844.0,3711926.0
,,,,1.0,2997847.0,3712006.0
1.0,0.0,0.0,0.0,,2997860.0,3712042.0
0.0,0.0,,0.0,0.0,2997867.0,3712054.0
1.0,0.0,1.0,0.0,,2997913.0,3712157.0
1.0,0.0,1.0,0.0,1.0,2116404.0,3712241.0
,1.0,,,0.0,2997950.0,3712252.0
1.0,0.0,,,1.0,2997975.0,3712307.0
,,,1.0,,2605165.0,3712312.0
1.0,0.0,1.0,1.0,1.0,135415414.0,3712355.0
1.0,,1.0,0.0,1.0,2079240.0,3712357.0
0.0,0.0,0.0,1.0,0.0,943085.0,3712359.0
1.0,,1.0,1.0,,2426783.0,3712364.0
1.0,0.0,1.0,0.0,,2998010.0,3712414.0
1.0,1.0,1.0,1.0,1.0,2161188.0,3712461.0
,,0.0,,,2998032.0,3712469.0
1.0,0.0,1.0,1.0,,2368566.0,3712474.0
1.0,1.0,1.0,1.0,,2998040.0,3712493.0
1.0,0.0,,1.0,1.0,2537506.0,3712502.0
0.0,0.0,,0.0,,2998057.0,3712526.0
1.0,,1.0,1.0,1.0,135415419.0,3712535.0
1.0,1.0,,1.0,,350843.0,3712600.0
,1.0,,1.0,0.0,6461550.0,3712607.0
1.0,,1.0,1.0,,1107330.0,3712953.0
,0.0,0.0,0.0,,1860644.0,3712980.0
,,1.0,0.0,0.0,2161195.0,3713022.0
,,0.0,0.0,0.0,2091447.0,3713042.0
1.0,0.0,1.0,0.0,,2998265.0,3713065.0
,,0.0,,0.0,2123807.0,3713238.0
,0.0,0.0,,0.0,69088.0,3713259.0
0.0,0.0,0.0,,0.0,6861488.0,3713263.0
1.0,0.0,0.0,,1.0,2123310.0,3713267.0
1.0,,,,,135415449.0,3713298.0
1.0,,0.0,1.0,1.0,2121339.0,3713389.0
1.0,,1.0,,,2116120.0,3713398.0
,0.0,0.0,1.0,0.0,2326262.0,3713399.0
1.0,0.0,,,,2998397.0,3713412.0
1.0,0.0,1.0,,,2998398.0,3713415.0
1.0,0.0,,0.0,1.0,2377519.0,3713635.0
0.0,0.0,0.0,0.0,0.0,2998489.0,3713645.0
0.0,0.0,0.0,0.0,0.0,2433797.0,3713783.0
0.0,0.0,0.0,,,2400918.0,3713968.0
1.0,,,1.0,,704116.0,3713981.0
,0.0,0.0,,0.0,2998651.0,3714062.0
1.0,,1.0,1.0,1.0,2120718.0,3714089.0
1.0,0.0,1.0,0.0,,2998672.0,3714119.0
0.0,0.0,,,,2998702.0,3714198.0
,0.0,0.0,,0.0,2998722.0,3714248.0
1.0,0.0,,,1.0,2336545.0,3714331.0
,0.0,,,,2115079.0,3714430.0
1.0,0.0,1.0,,1.0,2098196.0,3714713.0
1.0,0.0,,,,2594257.0,3714825.0
1.0,,1.0,1.0,1.0,2060921.0,3714832.0
1.0,0.0,0.0,,1.0,2998990.0,3714876.0
0.0,0.0,,1.0,0.0,6882596.0,3714911.0
0.0,,0.0,0.0,,2999021.0,3714944.0
1.0,0.0,1.0,1.0,1.0,2545865.0,3715068.0
,0.0,0.0,0.0,0.0,2999097.0,3715127.0
,1.0,1.0,1.0,1.0,2999101.0,3715149.0
1.0,0.0,1.0,,,2116318.0,3715182.0
,0.0,1.0,,0.0,2999150.0,3715280.0
0.0,0.0,0.0,,,2999154.0,3715293.0
0.0,0.0,0.0,,0.0,1234753.0,3715298.0
1.0,0.0,,1.0,1.0,2393456.0,3715304.0
,0.0,0.0,,0.0,2569738.0,3715354.0
,0.0,1.0,,,2999228.0,3715479.0
1.0,,,,1.0,2115978.0,3715494.0
1.0,,1.0,1.0,1.0,2104232.0,3715559.0
1.0,0.0,1.0,,,2695338.0,3715599.0
0.0,0.0,,0.0,0.0,135415501.0,3715610.0
,0.0,0.0,1.0,,721568.0,3715632.0
0.0,0.0,,0.0,,1407194.0,3715648.0
1.0,0.0,0.0,1.0,,2422615.0,3715858.0
0.0,,0.0,1.0,0.0,595193.0,3715879.0
1.0,0.0,,0.0,1.0,2999387.0,3715881.0
0.0,,,,,2083491.0,3716051.0
1.0,0.0,0.0,1.0,,2115176.0,3716063.0
0.0,0.0,0.0,,0.0,2999540.0,3716276.0
1.0,0.0,1.0,,,2122192.0,3716390.0
0.0,0.0,0.0,,,271643.0,3716435.0
1.0,1.0,,,1.0,2999625.0,3716458.0
,0.0,0.0,1.0,0.0,2123289.0,3716536.0
1.0,,,,1.0,2434657.0,3716539.0
,0.0,0.0,,,2574588.0,3716641.0
,1.0,0.0,,,733062.0,3716661.0
0.0,1.0,,,0.0,2999794.0,3716893.0
0.0,0.0,0.0,0.0,,77069.0,3717051.0
1.0,1.0,,1.0,0.0,2882730.0,3717090.0
1.0,0.0,1.0,1.0,1.0,2570225.0,3717182.0
,,0.0,0.0,0.0,2999949.0,3717322.0
1.0,,1.0,,1.0,2999963.0,3717359.0
1.0,,,0.0,0.0,2587014.0,3717397.0
,0.0,0.0,,,2999987.0,3717418.0
,0.0,0.0,1.0,0.0,4879.0,3717423.0
1.0,,,,1.0,2575543.0,3717426.0
1.0,,0.0,1.0,0.0,3000015.0,3717473.0
,0.0,0.0,,0.0,888621.0,3717494.0
1.0,1.0,0.0,,,6603002.0,3717526.0
1.0,,,,,2161090.0,3717536.0
,0.0,0.0,1.0,,2314340.0,3717701.0
,,0.0,,0.0,3000138.0,3717784.0
1.0,0.0,1.0,1.0,0.0,2408768.0,3717861.0
,0.0,0.0,1.0,0.0,2336875.0,3717913.0
1.0,1.0,1.0,1.0,1.0,2326513.0,3717932.0
0.0,0.0,,,,2566755.0,3717948.0
1.0,0.0,,,1.0,2090740.0,3717951.0
1.0,,1.0,,1.0,2368170.0,3717960.0
1.0,,,,1.0,2502130.0,3717981.0
0.0,1.0,,,0.0,3232584.0,4237471.0
,0.0,1.0,1.0,1.0,3232585.0,4237472.0
,,0.0,0.0,,3232586.0,4237473.0
,1.0,1.0,1.0,0.0,3232587.0,4237474.0
,,1.0,1.0,0.0,3232588.0,4237475.0
0.0,0.0,,0.0,0.0,3232589.0,4237476.0
0.0,0.0,,1.0,1.0,3232590.0,4237477.0
0.0,,1.0,1.0,0.0,3232591.0,4237478.0
,0.0,,0.0,,3232592.0,4237479.0
0.0,0.0,,1.0,0.0,3232593.0,4237480.0
0.0,,0.0,,0.0,3232594.0,4237481.0
1.0,1.0,1.0,1.0,,3232595.0,4237482.0
,,,1.0,,3232596.0,4237483.0
,0.0,0.0,,0.0,3232597.0,4237484.0
,,,1.0,0.0,3232598.0,4237485.0
,,1.0,1.0,0.0,3232599.0,4237486.0
1.0,1.0,1.0,1.0,,3232600.0,4237487.0
0.0,0.0,0.0,0.0,0.0,3232601.0,4237488.0
1.0,,1.0,1.0,0.0,3232602.0,4237489.0
1.0,,,1.0,1.0,3232603.0,4237490.0
1.0,1.0,1.0,1.0,,3232604.0,4237491.0
0.0,0.0,0.0,1.0,0.0,3232605.0,4237492.0
1.0,1.0,,1.0,0.0,3232606.0,4237493.0
0.0,,,,0.0,3232607.0,4237494.0
,,,1.0,0.0,3232608.0,4237495.0
0.0,0.0,0.0,1.0,0.0,3232609.0,4237496.0
,1.0,1.0,1.0,,3232610.0,4237497.0
0.0,0.0,1.0,,0.0,3232611.0,4237498.0
,,1.0,1.0,,3232612.0,4237499.0
0.0,0.0,,1.0,0.0,3232613.0,4237500.0
,0.0,1.0,1.0,,3232614.0,4237501.0
